w,freq,cat,lang,tr,alt
नमस्ते,9000,NE,ne,namaste,
नेपाल,8500,NE,ne,nepal,
धन्यवाद,8000,NE,ne,dhanyabad,
घर,7500,NE,ne,ghar,
माया,7500,NE,ne,maya,
राम्रो,7500,NE,ne,ramro,
काठमाडौं,7000,NE,ne,kathmandu,kathmadaun
खाना,7000,NE,ne,khana,
पानी,7000,NE,ne,pani,
किताब,6500,NE,ne,kitab,
देश,6500,NE,ne,desh,
साथी,6500,NE,ne,sathi,
खुशी,6000,NE,ne,khushi,
नयाँ,6000,NE,ne,naya,
परिवार,6000,NE,ne,pariwar,
पैसा,6000,NE,ne,paisa,
मान्छे,6000,NE,ne,manche,manchhe
स्कुल,6000,NE,ne,skul,
केटी,5500,NE,ne,keti,ketty
केटो,5500,NE,ne,keto,
ठूलो,5500,NE,ne,thulo,
दिन,5500,NE,ne,din,
भाषा,5500,NE,ne,bhasha,
सानो,5500,NE,ne,sano,
पुरानो,5000,NE,ne,purano,
बाटो,5000,NE,ne,bato,
रात,5000,NE,ne,raat,
स्वागत,5000,NE,ne,swagat,
शुभ,4500,NE,ne,shubh,
विदा,4000,NE,ne,bida,
एक,352,NE,ne,ek,
दुई,335,NE,ne,dui,
तीन,319,NE,ne,tin,
चार,306,NE,ne,char,
पाँच,293,NE,ne,panch,
छ,281,NE,ne,chha,
सात,271,NE,ne,saat,
आठ,261,NE,ne,aath,
नौ,252,NE,ne,nau,
दश,244,NE,ne,dash,
सय,236,NE,ne,saya,
हजार,229,NE,ne,hajar,
लाख,222,NE,ne,lakh,
आज,216,NE,ne,aaja,
भोलि,210,NE,ne,bholi,
हिजो,205,NE,ne,hijo,
अघि,200,NE,ne,aghi,
अचार,200,NE,ne,achar,
अण्डा,200,NE,ne,anda,
अदुवा,200,NE,ne,aduwa,
अनि,200,NE,ne,ani,
अस्पताल,200,NE,ne,aspatal,
अहिले,200,NE,ne,ahile,
आँखा,200,NE,ne,aankha,
आँप,200,NE,ne,aanp,
आउनु,200,NE,ne,aaunu,
आकाश,200,NE,ne,aakash,
आमा,200,NE,ne,aama,
आयो,200,NE,ne,aayo,
आलु,200,NE,ne,aalu,
आशा,200,NE,ne,aasha,
उठ्नु,200,NE,ne,uthnu,
औंला,200,NE,ne,aunla,aunlaa
औषधि,200,NE,ne,aushadhi,
कपाल,200,NE,ne,kapaal,
कलेज,200,NE,ne,college,
कसरी,200,NE,ne,kasari,
कस्तो,200,NE,ne,kasto,
कहाँ,200,NE,ne,kahan,
कहिले,200,NE,ne,kahile,
कान,200,NE,ne,kaan,
कानुन,200,NE,ne,kanun,kanuna
काम,200,NE,ne,kaam,
कि,200,NE,ne,ki,
किन,200,NE,ne,kina,
किनभने,200,NE,ne,kinabhane,kinbhane
किन्नु,200,NE,ne,kinnu,
कुकुर,200,NE,ne,kukur,
के,200,NE,ne,ke,
केरा,200,NE,ne,kera,
केही,200,NE,ne,kehi,
को,200,NE,ne,ko,
खबर,200,NE,ne,khabar,
खानु,200,NE,ne,khaanu,khanu
खायो,200,NE,ne,khayo,
खुट्टा,200,NE,ne,khutta,
खेत,200,NE,ne,khet,
खेल्नु,200,NE,ne,khelnu,
खोज्नु,200,NE,ne,khojnu,
खोला,200,NE,ne,khola,
खोल्नु,200,NE,ne,kholnu,
गयो,200,NE,ne,gayo,
गर्नु,200,NE,ne,garnu,
गर्मी,200,NE,ne,garmi,
गहुँ,200,NE,ne,gahun,
गाई,200,NE,ne,gai,
गाउँ,200,NE,ne,gaun,
गाह्रो,200,NE,ne,gahro,
गीत,200,NE,ne,geet,
घडी,200,NE,ne,ghadi,
घाँटी,200,NE,ne,ghaanti,
घाम,200,NE,ne,gham,
घोडा,200,NE,ne,ghoda,
चरा,200,NE,ne,chara,
चामल,200,NE,ne,chamal,
चिनी,200,NE,ne,chini,
चिया,200,NE,ne,chiya,
चिसो,200,NE,ne,chiso,
चुनाव,200,NE,ne,chunab,
चोक,200,NE,ne,chok,
छाला,200,NE,ne,chhala,
छिटो,200,NE,ne,chhito,
छैन,200,NE,ne,chhaina,
छोरा,200,NE,ne,chhora,
छोरी,200,NE,ne,chhori,
जंगल,200,NE,ne,jungle,
जाडो,200,NE,ne,jado,
जानु,200,NE,ne,jaanu,
जीवन,200,NE,ne,jiwan,
जुन,200,NE,ne,jun,
टाउको,200,NE,ne,tauko,
ठिक,200,NE,ne,thik,
डाक्टर,200,NE,ne,doctor,
ढाड,200,NE,ne,dhad,
तर,200,NE,ne,tara,
तरकारी,200,NE,ne,tarkari,
